"id","centroid_lat","centroid_lon","geranium_present"
5546,49.1034889999312,-110.588219000527,0
32789,49.6553249999423,-110.863765000466,0
30763,50.7593539999181,-111.508881000419,0
17682,50.760207999921,-111.511559000429,0
64244,50.7588389999355,-111.517830000445,0
53493,50.760879999926,-111.519814000437,0
44640,50.752978999962,-111.526446000418,0
30195,49.0857169999482,-111.612388000433,0
54822,49.083988999907,-111.615167000426,0
12244,49.0844609999505,-111.61782800039,0
60568,49.0827329999523,-111.620261000413,0
10294,49.0820689999428,-111.623813000386,0
76588,49.0811819999104,-111.630198000399,0
32371,51.3808059999292,-112.533653000281,0
18021,51.4799139999169,-112.788673000304,0
25306,49.6816119999413,-112.8619170003,0
41878,49.6391189999542,-112.888502000268,0
54046,49.2249839999193,-113.410534000191,1
58742,49.2511229999429,-113.442677000167,1
14153,52.2422419999301,-113.827688000121,0
28459,52.2435199999656,-113.830270000106,0
69776,49.043922999923,-113.915696000131,0
65579,49.051801999957,-113.916479000149,0
3930,51.027687999907,-113.997111000154,0
40906,51.0299419999325,-114.004019000134,0
36784,51.0282029999188,-114.006637000148,0
47263,51.0263059999559,-114.009469000112,0
13525,51.029803999923,-114.010208000119,0
65091,49.1315139999565,-114.026654000154,1
67351,51.0520959999301,-114.028518000128,0
48789,49.1293859999298,-114.028694000095,1
25408,51.0611389999698,-114.030517000088,0
57328,51.0650029998699,-114.0319530001,0
64720,51.0463449999481,-114.038086000081,0
27641,51.0478419999263,-114.040167000086,0
63688,51.0703839999612,-114.041880000072,1
31583,51.0473449999433,-114.0433500001,0
32972,51.0484859999195,-114.045883000077,0
73249,51.1315809999255,-114.051595000106,0
10286,51.0541919999239,-114.065186000141,0
19464,51.0544999999432,-114.068025000051,0
19065,51.1358699999179,-114.070769000101,1
74923,51.1087619999081,-114.085986000115,1
29066,49.9713809999418,-114.087517000125,0
47415,51.1106519999517,-114.087451000095,1
11152,51.0121589999579,-114.091493000107,0
29167,51.059351999905,-114.122878000121,0
1706,51.1260959999285,-114.132022000067,0
16569,50.9936749999253,-114.145111000097,0
3587,50.9944929999613,-114.147763000127,0
3039,50.9963729999294,-114.150597000156,0
76382,50.9932339999335,-114.150904000072,0
51924,50.9958949999555,-114.154061000109,0
4257,51.0864369999412,-114.170522000122,0
36185,51.0876569999375,-114.175578000094,0
76735,51.100710999945,-114.192170000104,1
6678,51.0094449999159,-114.203825000143,0
46803,51.0088229999237,-114.206555000125,0
42422,49.5830949999277,-114.207205000138,0
2085,51.0089239999221,-114.21121500007,0
2183,51.1192849999089,-114.235865000079,0
67682,49.3938049999306,-114.256263000072,0
4769,51.2510129999505,-114.386605000142,1
52300,51.1684189999162,-114.393051000136,0
38146,51.1661829999194,-114.393792000063,0
45427,51.1678279999062,-114.395837000074,0
58089,50.8071869999298,-114.437875000066,1
62169,51.1521439999397,-114.842925000022,1
12230,50.5961949999401,-114.986344999992,0
74501,52.4697879999416,-115.000191999977,0
36039,52.469104999927,-115.003021999989,0
7146,51.0731079999611,-115.117071999958,0
13049,51.1985699999045,-115.490655999938,0
46438,51.2481969999415,-115.50089299992,0
64509,51.1963159998975,-115.585402999948,0
22391,51.196917999929,-115.588279999924,0
80808,51.1696169999171,-115.592338999904,0
41928,51.2006189999387,-115.5951999999,0
64375,51.4161629999369,-116.215757999888,0
61588,51.7170969999332,-116.500953999816,0
4607,52.2202589999614,-117.225722999683,0
44424,52.5327389999539,-117.646452999731,0
