source_taxon_name,interaction_type,target_taxon_name,target_taxon,latitude,longitude,place,study_citation
Agropyron cristatum,flowersVisitedBy,Sinea diadema,species,,,USA,"O’Neill, Kevin M., et al. “Impact of Livestock Grazing on Abundance of Miridae and Reduviidae (Hemiptera) in Crested Wheatgrass Pastures.” Journal of Economic Entomology, vol. 101, no. 2, 2008, pp. 309–13, https://doi.org/10.1603/0022-0493%282008%29101%5B309%3AIOLGOA%5D2.0.CO%3B2."
Agropyron cristatum,flowersVisitedBy,Zelus tetracanthus,species,,,USA,"O’Neill, Kevin M., et al. “Impact of Livestock Grazing on Abundance of Miridae and Reduviidae (Hemiptera) in Crested Wheatgrass Pastures.” Journal of Economic Entomology, vol. 101, no. 2, 2008, pp. 309–13, https://doi.org/10.1603/0022-0493%282008%29101%5B309%3AIOLGOA%5D2.0.CO%3B2."
Agropyron cristatum,flowersVisitedBy,Labops hesperius,species,,,USA,"O’Neill, Kevin M., et al. “Impact of Livestock Grazing on Abundance of Miridae and Reduviidae (Hemiptera) in Crested Wheatgrass Pastures.” Journal of Economic Entomology, vol. 101, no. 2, 2008, pp. 309–13, https://doi.org/10.1603/0022-0493%282008%29101%5B309%3AIOLGOA%5D2.0.CO%3B2."
Agropyron cristatum,flowersVisitedBy,Capsus,genus,,,USA,"O’Neill, Kevin M., et al. “Impact of Livestock Grazing on Abundance of Miridae and Reduviidae (Hemiptera) in Crested Wheatgrass Pastures.” Journal of Economic Entomology, vol. 101, no. 2, 2008, pp. 309–13, https://doi.org/10.1603/0022-0493%282008%29101%5B309%3AIOLGOA%5D2.0.CO%3B2."
Agropyron cristatum,flowersVisitedBy,Melanoplus infantilis,species,,,USA,"Johnson, Daniel L. “The Effects of Timing and Frequency of Application of Nosema Locustae (Microspora: Microsporida) on the Infection Rate and Activity of Grasshoppers (Orthoptera: Acrididae).” Journal of Invertebrate Pathology, vol. 54, no. 3, 1989, pp. 353–62, https://doi.org/10.1016/0022-2011(89)90119-5."
Agropyron cristatum,flowersVisitedBy,Camnula pellucida,species,,,USA,"Johnson, Daniel L. “The Effects of Timing and Frequency of Application of Nosema Locustae (Microspora: Microsporida) on the Infection Rate and Activity of Grasshoppers (Orthoptera: Acrididae).” Journal of Invertebrate Pathology, vol. 54, no. 3, 1989, pp. 353–62, https://doi.org/10.1016/0022-2011(89)90119-5."
Agropyron cristatum,flowersVisitedBy,Melanoplus sanguinipes,species,,,USA,"Johnson, Daniel L. “The Effects of Timing and Frequency of Application of Nosema Locustae (Microspora: Microsporida) on the Infection Rate and Activity of Grasshoppers (Orthoptera: Acrididae).” Journal of Invertebrate Pathology, vol. 54, no. 3, 1989, pp. 353–62, https://doi.org/10.1016/0022-2011(89)90119-5."
Agropyron cristatum,flowersVisitedBy,Aulocara Elliotti ,species,,,"Montana, USA","Fisher, J. R. (USDA. “Location of Egg Pods of Aulocara Elliotti (Orthoptera:Acrididae) in a Field of Crested Wheatgrass in Montana.” Journal of the Kansas Entomological Society, vol. 65, no. 4, 1992, pp. 416–20."
Agropyron cristatum,flowersVisitedBy,Labops hesperius,species,,,USA,"“Screening Range Grasses for Resistance to Black Grass Bugs Labops Hesperius and Irbisia Pacifica (Hemiptera: Miridae).” Journal of Range Management, 1985, https://doi.org/10.2307/3898979."
Agropyron cristatum,flowersVisitedBy,Irbisia pacifica,species,,,USA,"“Screening Range Grasses for Resistance to Black Grass Bugs Labops Hesperius and Irbisia Pacifica (Hemiptera: Miridae).” Journal of Range Management, 1985, https://doi.org/10.2307/3898979."
Agropyron cristatum,flowersVisitedBy,Chrysoperla carnea ,species,,,"Utah, USA","Clark, T. L. (Utah State University, and F. J. Messina. “Foraging Behavior of Lacewing Larvae (Neuroptera: Chrysopidae) on Plants with Divergent Architectures.” Journal of Insect Behavior, vol. 11, no. 3, 1998, pp. 303–17, https://doi.org/10.1023/a:1020979112407."
Agropyron cristatum,flowersVisitedBy,Irbisia pacifica,species,,,USA,"Nowak, Robert S., et al. “EFFECTS OF GRASS BUG FEEDING AND DROUGHT STRESS ON SELECTED LINES OF CRESTED WHEATGRASS.” Western North American Naturalist, vol. 63, no. 2, 2003, pp. 167–77."
Agropyron cristatum,flowersVisitedBy,Amphitornis coloradus,species,,,"Utah, USA","Fielding DJ, Brusven MA. GRASSHOPPER COMMUNITY RESPONSES TO SHRUB LOSS, ANNUAL GRASSLANDS, AND CRESTED WHEATGRASS SEEDINGS: MANAGEMENT. InProceedings--ecology and Management of Annual Rangelands 1994 (Vol. 313, p. 162). United States Department of Agriculture, Forest Service, Intermountain Research Station."
Agropyron cristatum,flowersVisitedBy,Aulocara elliotti ,species,,,"Utah, USA","Fielding DJ, Brusven MA. GRASSHOPPER COMMUNITY RESPONSES TO SHRUB LOSS, ANNUAL GRASSLANDS, AND CRESTED WHEATGRASS SEEDINGS: MANAGEMENT. InProceedings--ecology and Management of Annual Rangelands 1994 (Vol. 313, p. 162). United States Department of Agriculture, Forest Service, Intermountain Research Station."
Agropyron cristatum,flowersVisitedBy,Cratypedes neglectus,species,,,"Utah, USA","Fielding DJ, Brusven MA. GRASSHOPPER COMMUNITY RESPONSES TO SHRUB LOSS, ANNUAL GRASSLANDS, AND CRESTED WHEATGRASS SEEDINGS: MANAGEMENT. InProceedings--ecology and Management of Annual Rangelands 1994 (Vol. 313, p. 162). United States Department of Agriculture, Forest Service, Intermountain Research Station."
Agropyron cristatum,flowersVisitedBy,Melanoplus sanguinipes,species,,,"Utah, USA","Fielding DJ, Brusven MA. GRASSHOPPER COMMUNITY RESPONSES TO SHRUB LOSS, ANNUAL GRASSLANDS, AND CRESTED WHEATGRASS SEEDINGS: MANAGEMENT. InProceedings--ecology and Management of Annual Rangelands 1994 (Vol. 313, p. 162). United States Department of Agriculture, Forest Service, Intermountain Research Station."
Agropyron cristatum,flowersVisitedBy,Oedaleonotus enigma,species,,,"Utah, USA","Fielding DJ, Brusven MA. GRASSHOPPER COMMUNITY RESPONSES TO SHRUB LOSS, ANNUAL GRASSLANDS, AND CRESTED WHEATGRASS SEEDINGS: MANAGEMENT. InProceedings--ecology and Management of Annual Rangelands 1994 (Vol. 313, p. 162). United States Department of Agriculture, Forest Service, Intermountain Research Station."
Agropyron cristatum,flowersVisitedBy,Spharagemon equale,species,,,"Utah, USA","Fielding DJ, Brusven MA. GRASSHOPPER COMMUNITY RESPONSES TO SHRUB LOSS, ANNUAL GRASSLANDS, AND CRESTED WHEATGRASS SEEDINGS: MANAGEMENT. InProceedings--ecology and Management of Annual Rangelands 1994 (Vol. 313, p. 162). United States Department of Agriculture, Forest Service, Intermountain Research Station."
Agropyron cristatum,flowersVisitedBy,Aulocara Elliotti ,species,,,NA,Quiroz D. 2015. Agropyron cristatum (crested wheatgrass). CABI Compendium. CABI Compendium:3723. doi:10.1079/cabicompendium.3723.
Agropyron cristatum,flowersVisitedBy,Irbisia brachycera,species,,,NA,Quiroz D. 2015. Agropyron cristatum (crested wheatgrass). CABI Compendium. CABI Compendium:3723. doi:10.1079/cabicompendium.3723.
Agropyron cristatum,flowersVisitedBy,Labops hesperius,species,,,NA,Quiroz D. 2015. Agropyron cristatum (crested wheatgrass). CABI Compendium. CABI Compendium:3723. doi:10.1079/cabicompendium.3723.
Agropyron cristatum,flowersVisitedBy,Tanymecus dilaticollis,species,,,NA,Quiroz D. 2015. Agropyron cristatum (crested wheatgrass). CABI Compendium. CABI Compendium:3723. doi:10.1079/cabicompendium.3723.
Agropyron cristatum,flowersVisitedBy,Cicadellidae,family,,,NA,Quiroz D. 2015. Agropyron cristatum (crested wheatgrass). CABI Compendium. CABI Compendium:3723. doi:10.1079/cabicompendium.3723.
Agropyron cristatum,flowersVisitedBy,Scarabaeoidea,superfamily,,,NA,Quiroz D. 2015. Agropyron cristatum (crested wheatgrass). CABI Compendium. CABI Compendium:3723. doi:10.1079/cabicompendium.3723.
Agropyron cristatum,flowersVisitedBy,Elateridae,family,,,NA,Quiroz D. 2015. Agropyron cristatum (crested wheatgrass). CABI Compendium. CABI Compendium:3723. doi:10.1079/cabicompendium.3723.
Agropyron cristatum,flowersVisitedBy,Curculionidae,family,,,NA,Quiroz D. 2015. Agropyron cristatum (crested wheatgrass). CABI Compendium. CABI Compendium:3723. doi:10.1079/cabicompendium.3723.
Anemone multifida,flowersVisitedBy,Misumenops pallidus ,species,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Ruizantheda mutabilis,species,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Diptera,order,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Hymenoptera,order,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Coleoptera,order,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Lepidoptera,order,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Bibionidae,family,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Syrphidae,family,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Syrphus,genus,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Scaeva occidentalis,species,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Manuelia,genus,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Dilophus,genus,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Toxomerus vertebratus,species,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Allograpta,genus,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Ruizantheda proxima,species,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Arthrobrachus,genus,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Mordella,genus,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Amecocerus,genus,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Colias lesbia,species,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Tatochila mercedis,species,,,Patagonia,"Gavini SS, Quintero C, Tadey M. 2019. Ecological role of a flower-dwelling predator in a tri-trophic interaction in northwestern Patagonia. Acta Oecologica. 95:100–107. doi:10.1016/j.actao.2018.12.001."
Anemone multifida,flowersVisitedBy,Heriades carinatus,species,,,USA,"LaManna JA, Burkle LA, Belote RT, Myers JA. 2021. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. Journal of Ecology. 109(2):1000–1013. doi:10.1111/1365-2745.13530."
Anemone multifida,flowersVisitedBy,Nomada edwardsii,species,,,USA,"LaManna JA, Burkle LA, Belote RT, Myers JA. 2021. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. Journal of Ecology. 109(2):1000–1013. doi:10.1111/1365-2745.13530."
Anemone multifida,flowersVisitedBy,Osmia inermis ,species,,,USA,"LaManna JA, Burkle LA, Belote RT, Myers JA. 2021. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. Journal of Ecology. 109(2):1000–1013. doi:10.1111/1365-2745.13530."
Anemone multifida,flowersVisitedBy,Osmia densa,species,,,USA,"LaManna JA, Burkle LA, Belote RT, Myers JA. 2021. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. Journal of Ecology. 109(2):1000–1013. doi:10.1111/1365-2745.13530."
Anemone multifida,flowersVisitedBy,Stelis permaculata,species,,,USA,"LaManna JA, Burkle LA, Belote RT, Myers JA. 2021. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. Journal of Ecology. 109(2):1000–1013. doi:10.1111/1365-2745.13530."
Bouteloua gracilis,flowersVisitedBy,Ageneotettix deorum,species,,,USA,"Joern, A., and S. Mole. “Plant Stress Hypothesis and Variable Responses by Blue Grama Grass (Bouteloua Gracilis) to Water, Mineral Nitrogen, and Insect Herbivory.” Journal of Chemical Ecology, vol. 31, no. 9, 2005, pp. 2069–90, https://doi.org/10.1007/s10886-005-6078-3."
Bouteloua gracilis,flowersVisitedBy,Phoetaliotes nebrascensis,species,,,USA,"Joern, A., and S. Mole. “Plant Stress Hypothesis and Variable Responses by Blue Grama Grass (Bouteloua Gracilis) to Water, Mineral Nitrogen, and Insect Herbivory.” Journal of Chemical Ecology, vol. 31, no. 9, 2005, pp. 2069–90, https://doi.org/10.1007/s10886-005-6078-3."
