source_taxon_name,interaction_type,target_taxon_name,target_taxon,latitude,longitude,place,study_citation
Bouteloua gracilis,flowersVisitedBy,,,,,USA,"Carlson, S. R. (New Mexico State University, and W. G. Whiteford. “Ant Mound Influence on Vegetation and Soils in a Semiarid Mountain Ecosystem.” The American Midland Naturalist, vol. 126, no. 1, 1991, pp. 125–39, https://doi.org/10.2307/2426157."
Bouteloua gracilis,flowersVisitedBy,Melanoplus sanguinipe,,,,USA,"Dyer, M. I., and U. G. Bokhari. “Plant-Animal Interactions: Studies of the Effects of Grasshopper Grazing on Blue Grama Grass.” Ecology (Durham), vol. 57, no. 4, 1976, pp. 762–72, https://doi.org/10.2307/1936189."
Bouteloua gracilis,flowersVisitedBy,Pogonomyrmex occidentals,,,,USA,"Uhey, Derek A., et al. “Increased Cover of Native and Exotic Plants on the Rims of Harvester Ant (Hymenoptera: Formicidae) Nests under Grazing and Drought.” Environmental Entomology, vol. 53, no. 1, 2024, pp. 180–87, https://doi.org/10.1093/ee/nvad113."
Bouteloua gracilis,flowersVisitedBy,Pogonomyrmex rugosus,,,,USA,"Uhey, Derek A., et al. “Increased Cover of Native and Exotic Plants on the Rims of Harvester Ant (Hymenoptera: Formicidae) Nests under Grazing and Drought.” Environmental Entomology, vol. 53, no. 1, 2024, pp. 180–87, https://doi.org/10.1093/ee/nvad113."
Euphorbia virgata,flowersVisitedBy,Brachycera,suborder,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Formicidae,family,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Apocrita,suborder,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Platystoma seminationis,species,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Staphylinidae ,family,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Mordellidae,family,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Callicera,genus,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Collyria coxator,species,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Sussaba erigator,species,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Tryphon atriceps,species,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Tryphon signator ,species,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Cephus pygmeus,species,,,Austria,"Asenbaum J, Schäffler I, Etl F, Dötterl S, Schönenberger J, Chartier M. 2021. Comparative Pollination Ecology of Five European Euphorbia Species. International Journal of Plant Sciences. 182(9):763–777. doi:10.1086/715759. [accessed 2025 May 12]. https://www.journals.uchicago.edu/doi/10.1086/715759."
Euphorbia virgata,flowersVisitedBy,Hyles euphorbiae,species,,,Hungary,"Pecora P, Dunn PH. 1990. Proceedings of the 7th International Symposium on Biological Control of Weeds. Delfosse ES, editor. Roma: Edigraf."
Euphorbia virgata,flowersVisitedBy,Apis,genus,,,,Global Invasive Species Database (2025) Species profile: Euphorbia esula. Downloaded from http://www.iucngisd.org/gisd/species.php?sc=83 on 13-05-2025.
Euphorbia virgata,flowersVisitedBy,Chamaesphecia astatiformis,species,,,USA,"Winston, R.L., C.B. Randall, B. Blossey, P.W. Tipping, E.C. Lake, and J. Hough-Goldstein. 2017. Field Guide for the Biological Control of Weeds in Eastern North America. USDA Forest Service, Forest Health Technology Enterprise Team, Morgantown, West Virginia. FHTET-2016-04. Retrieved from http://bugwoodcloud.org/resource/pdf/FHTET-2016-04_Biocontrol_Field_Guide.pdf"
Euphorbia virgata,flowersVisitedBy,Chamaesphecia crassicornis,species,,,USA,"Winston, R.L., C.B. Randall, B. Blossey, P.W. Tipping, E.C. Lake, and J. Hough-Goldstein. 2017. Field Guide for the Biological Control of Weeds in Eastern North America. USDA Forest Service, Forest Health Technology Enterprise Team, Morgantown, West Virginia. FHTET-2016-04. Retrieved from http://bugwoodcloud.org/resource/pdf/FHTET-2016-04_Biocontrol_Field_Guide.pdf"
Euphorbia virgata,flowersVisitedBy,Chamaesphecia hungarica,species,,,USA,"Winston, R.L., C.B. Randall, B. Blossey, P.W. Tipping, E.C. Lake, and J. Hough-Goldstein. 2017. Field Guide for the Biological Control of Weeds in Eastern North America. USDA Forest Service, Forest Health Technology Enterprise Team, Morgantown, West Virginia. FHTET-2016-04. Retrieved from http://bugwoodcloud.org/resource/pdf/FHTET-2016-04_Biocontrol_Field_Guide.pdf"
Euphorbia virgata,flowersVisitedBy,Chamaesphecia tenthrediniformis,species,,,USA,"Winston, R.L., C.B. Randall, B. Blossey, P.W. Tipping, E.C. Lake, and J. Hough-Goldstein. 2017. Field Guide for the Biological Control of Weeds in Eastern North America. USDA Forest Service, Forest Health Technology Enterprise Team, Morgantown, West Virginia. FHTET-2016-04. Retrieved from http://bugwoodcloud.org/resource/pdf/FHTET-2016-04_Biocontrol_Field_Guide.pdf"
Hesperostipa comata,flowersVisitedBy,Hesperia leonardus pawnee,subspecies,,,USA,"McCabe, T. L., & R. L. Post. 1977. Skippers (Hesperioidea) of North Dakota: With Additional Records of North Dakota Butterflies and a Butterfly Calendar. North Dakota Insects, Schaefer-Post Series Publ. No. 11, N.D. Agric. Exp. Stn. Publ. No. 714. Department of Entomology and Agricultural Experiment Station, North Dakota State University, Fargo, ND. 70 p. "
Hesperostipa comata,flowersVisitedBy,Satyrinae,subfamily,,,USA,"Colorado Plant Database, Colorado State University Extension, Jefferson County. [accessed 2025 May 13]. https://coloradoplants.jeffco.us/plant/details/493."
Hesperostipa comata,flowersVisitedBy,Hesperiidae,family,,,USA,"Colorado Plant Database, Colorado State University Extension, Jefferson County. [accessed 2025 May 13]. https://coloradoplants.jeffco.us/plant/details/493."
Hesperostipa comata,flowersVisitedBy,Melanoplus sanguinipes,species,,,USA,"Drolet BS, Stuart MA, Derner JD. 2009. Infection of Melanoplus sanguinipes Grasshoppers following Ingestion of Rangeland Plant Species Harboring Vesicular Stomatitis Virus. Appl Environ Microbiol. 75(10):3029–3033. doi:10.1128/AEM.02368-08. [accessed 2025 May 13]. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2681647/."
Juncus balticus,flowersVisitedBy,Bombus terricola occidentalis ,subspecies,,,Canada,"Pojar, J. (1974). Relation of the reproductive biology of plants to the structure and function of four plant communities (T). University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/831/items/1.0093501"
Juncus balticus,flowersVisitedBy,Dichroplus maculipennis,species,,,Patagonia,"Amadio, M. E., Pietrantuono, A. L., Lozada, M., & Fernández-Arhex, V. (2020). Effect of plant nutritional traits on the diet of grasshoppers in a wetland of Northern Patagonia. International Journal of Pest Management, 67(4), 288–297. https://doi.org/10.1080/09670874.2020.1766156"
Juncus balticus,flowersVisitedBy,Spharagemon collare ,species,,,USA,Juncus balticus (Insect Feeders). [accessed 2025 May 13]. https://www.illinoiswildflowers.info/plant_insects/plants/juncus_balticus.html.
Plantago patagonica,flowersVisitedBy,Grammia geneura ,species,,,USA,"Singer MS, Stireman Iii JO. 2003. Does anti?parasitoid defense explain host?plant selection by a polyphagous caterpillar? Oikos. 100(3):554–562. doi:10.1034/j.1600-0706.2003.11720.x. [accessed 2025 May 20]. https://onlinelibrary.wiley.com/doi/10.1034/j.1600-0706.2003.11720.x."
Plantago patagonica,flowersVisitedBy,Euphydryas editha quino,species,,,USA,"Pratt GF, Emmel JF. 2010. Sites chosen by diapausing or quiescent stage quino checkerspot butterfly, Euphydryas editha quino, (Lepidoptera: Nymphalidae) larvae. J Insect Conserv. 14(2):107–114. doi:10.1007/s10841-009-9229-y. [accessed 2025 May 20]. https://doi.org/10.1007/s10841-009-9229-y."
Plantago patagonica,flowersVisitedBy,Grammia incorrupta ,species,,,USA,"Smilanich AM, Mason PA, Sprung L, Chase TR, Singer MS. 2011. Complex effects of parasitoids on pharmacophagy and diet choice of a polyphagous caterpillar. Oecologia. 165(4):995–1005. doi:10.1007/s00442-010-1803-1. [accessed 2025 May 20]. http://link.springer.com/10.1007/s00442-010-1803-1."
Plantago patagonica,flowersVisitedBy,Bombus pensylvanicus,species,,,Canada,"Colla, S.R. and S. Dumesh. 2010. The bumble bees of southern Ontario: notes on natural history and distribution. Journal of the Entomological Society of Ontario 141:39-68."
Populus balsamifera,flowersVisitedBy,Apoidea,superfamily,,,Canada,Balsam poplar | ontario.ca. [accessed 2025 May 20]. http://www.ontario.ca/page/balsam-poplar.
Populus balsamifera,flowersVisitedBy,Lepidoptera,order,,,USA,BALSAM POPLAR - POPULUS BALSAMIFERA | The UFOR Nursery & Lab. [accessed 2025 May 20]. https://trees.umn.edu/balsam-poplar-populus-balsamifera.
Populus balsamifera,flowersVisitedBy,Limenitis archippus,species,,,USA,Nature’s Notebook: Balsam Poplar. [accessed 2025 May 20]. https://mynpn.usanpn.org/npnapps/species/Populus/balsamifera.
Populus balsamifera,flowersVisitedBy,Apis mellifera,species,,,Germany,"Drescher N, Klein A-M, Schmitt T, Leonhardt SD. 2019. A clue on bee glue: New insight into the sources and factors driving resin intake in honeybees (Apis mellifera). PLOS ONE. 14(2):e0210594. doi:10.1371/journal.pone.0210594. [accessed 2025 May 20]. https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210594."
Populus balsamifera,flowersVisitedBy,Papilio canadensis,species,,,USA,Mark Scriber J. 2002. Latitudinal and local geographic mosaics in host plant preferences as shaped by thermal units and voltinism in Papilio spp. (Lepidoptera). Eur J Entomol. 99(2):225–239. doi:10.14411/eje.2002.032. [accessed 2025 May 20]. http://www.eje.cz/doi/10.14411/eje.2002.032.html.
Sporobolus rigidus,flowersVisitedBy,Trimerotropis huronia,species,,,Canada,"Jones, J. 2018. Recovery Strategy for the Lake Huron Grasshopper (Trimerotropis huroniana) in Ontario. Ontario Recovery Strategy Series. Prepared for the Ministry of the Environment, Conservation and Parks, Peterborough, Ontario. [iv] + [27] pp."
