sp1_name,sp2_name,peak_flowering,start_flowering,first_no_flowering,end_flowering,flowering_length
Carex eburnea,Carex eburnea,NA,NA,NA,#VALUE!,#VALUE!
Carex filifolia,Carex filifolia,5,4,9,8,5
Carex flava,Carex flava,NA,6,9,8,3
Carex foenea,Carex foenea,NA,NA,NA,#VALUE!,#VALUE!
Carex geyeri,Carex geyeri,NA,4,9,8,5
Carex haydeniana,Carex haydeniana,NA,NA,NA,#VALUE!,#VALUE!
Carex hoodii,Carex hoodii,NA,NA,NA,#VALUE!,#VALUE!
Carex inops,Carex inops,NA,NA,NA,#VALUE!,#VALUE!
Carex interior,Carex interior,NA,6,8,7,2
Carex lasiocarpa,Carex lasiocarpa,NA,NA,NA,#VALUE!,#VALUE!
Carex limosa,Carex limosa,NA,NA,NA,#VALUE!,#VALUE!
Carex microptera,Carex microptera,NA,NA,NA,#VALUE!,#VALUE!
Carex nardina,Carex nardina,NA,NA,NA,#VALUE!,#VALUE!
Carex nebrascensis,Carex nebrascensis,NA,NA,NA,#VALUE!,#VALUE!
Carex obtusata,Carex obtusata,NA,NA,NA,#VALUE!,#VALUE!
Carex pachystachya,Carex pachystachya,NA,NA,NA,#VALUE!,#VALUE!
Carex pellita,Carex pellita,6,5,8,7,3
Carex petasata,Carex petasata,NA,5,9,8,4
Carex phaeocephala,Carex phaeocephala,NA,NA,NA,#VALUE!,#VALUE!
Carex podocarpa,Carex podocarpa,NA,NA,NA,#VALUE!,#VALUE!
Carex praegracilis,Carex praegracilis,NA,NA,NA,#VALUE!,#VALUE!
Carex praticola,Carex praticola,NA,NA,NA,#VALUE!,#VALUE!
Carex pseudocyperus,Carex pseudocyperus,NA,6,8,7,2
Carex raynoldsii,Carex raynoldsii,NA,NA,NA,#VALUE!,#VALUE!
Carex richardsonii,Carex richardsonii,NA,NA,NA,#VALUE!,#VALUE!
Carex rossii,Carex rossii,NA,NA,NA,#VALUE!,#VALUE!
Carex rostrata,Carex rostrata,NA,NA,NA,#VALUE!,#VALUE!
Carex rupestris,Carex rupestris,NA,NA,NA,#VALUE!,#VALUE!
Carex scirpoidea,Carex scirpoidea,5,5,10,9,5
Carex siccata,Carex siccata,NA,NA,NA,#VALUE!,#VALUE!
Carex spectabilis,Carex spectabilis,NA,NA,NA,#VALUE!,#VALUE!
Carex sprengelii,Carex sprengelii,6,5,8,7,3
Carex tahoensis,Carex tahoensis,NA,NA,NA,#VALUE!,#VALUE!
Carex umbellata,Carex umbellata,NA,NA,NA,#VALUE!,#VALUE!
Carex utriculata,Carex utriculata,6,6,10,9,4
Carex vesicaria,Carex vesicaria,NA,NA,NA,#VALUE!,#VALUE!
Carex xerantica,Carex xerantica,NA,NA,NA,#VALUE!,#VALUE!
Eleocharis macrostachya,Eleocharis macrostachya,NA,NA,NA,#VALUE!,#VALUE!
Eleocharis palustris,Eleocharis palustris,NA,6,9,8,3
Eriophorum angustifolium,Eriophorum angustifolium,NA,NA,NA,#VALUE!,#VALUE!
Schoenoplectus acutus,Schoenoplectus acutus,6,6,11,10,5
Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,7,7,11,10,4
Scirpus microcarpus,Scirpus microcarpus,6,6,8,7,2
Cystopteris fragilis,Cystopteris fragilis,NA,NA,NA,#VALUE!,#VALUE!
Gymnocarpium disjunctum,Gymnocarpium disjunctum,NA,NA,NA,#VALUE!,#VALUE!
Gymnocarpium dryopteris,Gymnocarpium dryopteris,NA,NA,NA,#VALUE!,#VALUE!
Pteridium aquilinum,Pteridium aquilinum,NA,NA,NA,#VALUE!,#VALUE!
Polystichum lonchitis,Polystichum lonchitis,NA,NA,NA,#VALUE!,#VALUE!
Elaeagnus commutata,Elaeagnus commutata,6,5,10,9,5
Shepherdia argentea,Shepherdia argentea,5,4,6,5,2
Shepherdia canadensis,Shepherdia canadensis,5,4,6,5,2
Equisetum arvense,Equisetum arvense,NA,NA,NA,#VALUE!,#VALUE!
Equisetum fluviatile,Equisetum fluviatile,NA,NA,NA,#VALUE!,#VALUE!
Equisetum hyemale,Equisetum hyemale,NA,NA,NA,#VALUE!,#VALUE!
Equisetum laevigatum,Equisetum laevigatum,NA,NA,NA,#VALUE!,#VALUE!
Equisetum palustre,Equisetum palustre,NA,NA,NA,#VALUE!,#VALUE!
Equisetum pratense,Equisetum pratense,NA,NA,NA,#VALUE!,#VALUE!
Equisetum scirpoides,Equisetum scirpoides,NA,NA,NA,#VALUE!,#VALUE!
Equisetum sylvaticum,Equisetum sylvaticum,NA,NA,NA,#VALUE!,#VALUE!
Equisetum variegatum,Equisetum variegatum,NA,NA,NA,#VALUE!,#VALUE!
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,5,5,10,9,5
Chimaphila umbellata,Chimaphila umbellata,7,7,10,9,3
Moneses uniflora,Moneses uniflora,7,6,10,9,4
Orthilia secunda,Orthilia secunda,7,7,9,8,2
Pterospora andromedea,Pterospora andromedea,7,7,9,8,2
Pyrola asarifolia,Pyrola asarifolia,7,6,10,9,4
Pyrola chlorantha,Pyrola chlorantha,7,6,9,8,3
Pyrola elliptica,Pyrola elliptica,7,6,8,7,2
Rhododendron groenlandicum,Rhododendron groenlandicum,6,5,8,7,3
Vaccinium myrtillus,Vaccinium myrtillus,6,6,8,7,2
Astragalus agrestis,Astragalus agrestis,6,5,10,9,5
Astragalus alpinus,Astragalus alpinus,6,5,9,8,4
Astragalus americanus,Astragalus americanus,7,6,9,8,3
Astragalus australis,Astragalus australis,6,5,9,8,4
Astragalus bisulcatus,Astragalus bisulcatus,6,5,8,7,3
Astragalus canadensis,Astragalus canadensis,7,6,10,9,4
Astragalus crassicarpus,Astragalus crassicarpus,5,5,7,6,2
Astragalus drummondii,Astragalus drummondii,6,5,8,7,3
Astragalus eucosmus,Astragalus eucosmus,NA,NA,NA,#VALUE!,#VALUE!
Astragalus flexuosus,Astragalus flexuosus,6,6,9,8,3
Astragalus gilviflorus,Astragalus gilviflorus,5,4,7,6,3
Astragalus kentrophyta,Astragalus kentrophyta,NA,5,8,7,3
Astragalus laxmannii,Astragalus laxmannii,6,6,9,8,3
Astragalus miser,Astragalus miser,6,6,9,8,3
Astragalus missouriensis,Astragalus missouriensis,5,4,8,7,4
Astragalus pectinatus,Astragalus pectinatus,5,5,7,6,2
Astragalus robbinsii,Astragalus robbinsii,6,5,8,7,3
Astragalus vexilliflexus,Astragalus vexilliflexus,6,5,10,9,5
Dalea candida,Dalea candida,7,6,9,8,3
Dalea purpurea,Dalea purpurea,7,6,10,9,4
Glycyrrhiza lepidota,Glycyrrhiza lepidota,7,6,9,8,3
Hedysarum alpinum,Hedysarum alpinum,6,5,10,9,5
Hedysarum boreale,Hedysarum boreale,6,4,11,10,7
Hedysarum sulphurescens,Hedysarum sulphurescens,7,5,9,8,4
Lathyrus ochroleucus,Lathyrus ochroleucus,6,5,8,7,3
Lupinus argenteus,Lupinus argenteus,7,5,9,8,4
Lupinus lepidus,Lupinus lepidus,NA,5,8,7,3
Lupinus polyphyllus,Lupinus polyphyllus,NA,6,10,9,4
Lupinus sericeus,Lupinus sericeus,6,6,8,7,2
Oxytropis borealis,Oxytropis borealis,6,5,10,9,5
Oxytropis campestris,Oxytropis campestris,7,5,10,9,5
Oxytropis deflexa,Oxytropis deflexa,7,6,9,8,3
Oxytropis monticola,Oxytropis monticola,NA,NA,NA,#VALUE!,#VALUE!
Oxytropis sericea,Oxytropis sericea,5,5,7,6,2
Oxytropis sericea,Oxytropis sericea,5,5,7,6,2
Oxytropis splendens,Oxytropis splendens,7,6,9,8,3
Pediomelum esculentum,Pediomelum esculentum,6,6,8,7,2
Thermopsis rhombifolia,Thermopsis rhombifolia,5,4,8,7,4
Vicia americana,Vicia americana,6,5,10,9,5
Gentiana affinis,Gentiana affinis,8,7,10,9,3
Gentianella amarella,Gentianella amarella,8,6,10,9,4
Gentianopsis macounii,Gentianopsis macounii,NA,NA,NA,#VALUE!,#VALUE!
Lomatogonium rotatum,Lomatogonium rotatum,NA,NA,NA,#VALUE!,#VALUE!
Geranium bicknellii,Geranium bicknellii,7,6,11,10,5
Geranium richardsonii,Geranium richardsonii,7,4,10,9,6
Geranium viscosissimum,Geranium viscosissimum,6,5,12,11,7
Ribes americanum,Ribes americanum,5,5,7,6,2
Ribes aureum,Ribes aureum,5,4,7,6,3
Ribes inerme,Ribes inerme,NA,4,7,6,3
Ribes lacustre,Ribes lacustre,6,5,8,7,3
Ribes oxyacanthoides,Ribes oxyacanthoides,5,5,7,6,2
Myriophyllum sibiricum,Myriophyllum sibiricum,NA,6,9,8,3
Myriophyllum verticillatum,Myriophyllum verticillatum,NA,NA,NA,#VALUE!,#VALUE!
Philadelphus lewisii,Philadelphus lewisii,NA,5,9,8,4
Elodea canadensis,Elodea canadensis,NA,6,9,8,3
Ellisia nyctelea,Ellisia nyctelea,NA,NA,NA,#VALUE!,#VALUE!
Hydrophyllum capitatum,Hydrophyllum capitatum,5,5,8,7,3
Nemophila breviflora,Nemophila breviflora,NA,4,8,7,4
Phacelia franklinii,Phacelia franklinii,NA,NA,NA,#VALUE!,#VALUE!
Phacelia hastata,Phacelia hastata,7,6,10,9,4
Phacelia linearis,Phacelia linearis,NA,4,8,7,4
Phacelia sericea,Phacelia sericea,7,5,10,9,5
Sisyrinchium montanum,Sisyrinchium montanum,5,5,9,8,4
Sisyrinchium septentrionale,Sisyrinchium septentrionale,NA,NA,NA,#VALUE!,#VALUE!
Juncus alpinoarticulatus,Juncus alpinoarticulatus,NA,NA,NA,#VALUE!,#VALUE!
Juncus balticus,Juncus balticus,6,5,8,7,3
Juncus bufonius,Juncus bufonius,NA,6,8,7,2
Juncus confusus,Juncus confusus,NA,NA,NA,#VALUE!,#VALUE!
Juncus ensifolius,Juncus ensifolius,NA,NA,NA,#VALUE!,#VALUE!
Juncus longistylis,Juncus longistylis,NA,NA,NA,#VALUE!,#VALUE!
Juncus nodosus,Juncus nodosus,NA,NA,NA,#VALUE!,#VALUE!
Juncus tenuis,Juncus tenuis,NA,NA,NA,#VALUE!,#VALUE!
Luzula multiflora,Luzula multiflora,NA,NA,NA,#VALUE!,#VALUE!
Luzula parviflora,Luzula parviflora,NA,7,8,7,1
Luzula spicata,Luzula spicata,NA,NA,NA,#VALUE!,#VALUE!
Triglochin maritima,Triglochin maritima,7,5,9,8,4
Triglochin palustris,Triglochin palustris,NA,NA,NA,#VALUE!,#VALUE!
Dracocephalum parviflorum,Dracocephalum parviflorum,6,6,9,8,3
Mentha arvensis,Mentha arvensis,NA,NA,NA,#VALUE!,#VALUE!
Monarda fistulosa,Monarda fistulosa,8,5,10,9,5
Prunella vulgaris,Prunella vulgaris,7,6,10,9,4
Scutellaria galericulata,Scutellaria galericulata,7,6,10,9,4
Stachys pilosa,Stachys pilosa,7,6,9,8,3
Pinguicula vulgaris,Pinguicula vulgaris,7,5,9,8,4
Calochortus apiculatus,Calochortus apiculatus,6,6,9,8,3
Clintonia uniflora,Clintonia uniflora,7,6,9,8,3
Erythronium grandiflorum,Erythronium grandiflorum,5,4,9,8,5
Fritillaria pudica,Fritillaria pudica,5,4,7,6,3
Lilium philadelphicum,Lilium philadelphicum,7,5,10,9,5
Prosartes hookeri,Prosartes hookeri,6,5,7,6,2
Prosartes trachycarpa,Prosartes trachycarpa,5,4,7,6,3
Streptopus amplexifolius,Streptopus amplexifolius,7,6,8,7,2
Linum lewisii,Linum lewisii,6,5,11,10,6
Mentzelia decapetala,Mentzelia decapetala,8,7,10,9,3
Iliamna rivularis,Iliamna rivularis,7,6,10,9,4
Sphaeralcea coccinea,Sphaeralcea coccinea,6,5,10,9,5
Veratrum viride,Veratrum viride,8,7,9,8,2
Xerophyllum tenax,Xerophyllum tenax,6,5,9,8,4
Menyanthes trifoliata,Menyanthes trifoliata,6,5,8,7,3
Claytonia lanceolata,Claytonia lanceolata,6,4,9,8,5
Lewisia pygmaea,Lewisia pygmaea,NA,5,9,8,4
Lewisia rediviva,Lewisia rediviva,NA,6,8,7,2
Montia linearis,Montia linearis,NA,5,8,7,3
Nuphar variegata,Nuphar variegata,7,5,9,8,4
Fraxinus pennsylvanica,Fraxinus pennsylvanica,6,6,7,6,1
Epilobium ciliatum,Epilobium ciliatum,7,6,11,10,5
Epilobium hornemannii,Epilobium hornemannii,NA,NA,NA,#VALUE!,#VALUE!
Epilobium palustre,Epilobium palustre,NA,NA,NA,#VALUE!,#VALUE!
Oenothera biennis,Oenothera biennis,7,6,10,9,4
Oenothera nuttallii,Oenothera nuttallii,8,6,10,9,4
Oenothera suffrutescens,Oenothera suffrutescens,6,5,9,8,4
Oenothera villosa,Oenothera villosa,7,6,10,9,4
Botrychium hesperium,Botrychium hesperium,NA,NA,NA,#VALUE!,#VALUE!
Botrychium lunaria,Botrychium lunaria,NA,NA,NA,#VALUE!,#VALUE!
Botrychium minganense,Botrychium minganense,NA,NA,NA,#VALUE!,#VALUE!
Botrychium paradoxum,Botrychium paradoxum,NA,NA,NA,#VALUE!,#VALUE!
Sceptridium multifidum,Sceptridium multifidum,NA,NA,NA,#VALUE!,#VALUE!
Calypso bulbosa,Calypso bulbosa,6,5,11,10,6
Corallorhiza maculata,Corallorhiza maculata,7,6,8,7,2
Corallorhiza striata,Corallorhiza striata,6,5,9,8,4
Corallorhiza trifida,Corallorhiza trifida,6,5,8,7,3
Cypripedium montanum,Cypripedium montanum,6,5,9,8,4
Cypripedium parviflorum,Cypripedium parviflorum,6,5,8,7,3
Cypripedium passerinum,Cypripedium passerinum,7,6,8,7,2
Galearis rotundifolia,Galearis rotundifolia,6,6,8,7,2
Goodyera oblongifolia,Goodyera oblongifolia,8,7,10,9,3
Goodyera repens,Goodyera repens,7,7,9,8,2
Malaxis monophyllos,Malaxis monophyllos,NA,NA,NA,#VALUE!,#VALUE!
Neottia banksiana,Neottia banksiana,NA,6,9,8,3
Neottia borealis,Neottia borealis,6,6,8,7,2
Neottia convallarioides,Neottia convallarioides,NA,7,8,7,1
Neottia cordata,Neottia cordata,6,5,8,7,3
Platanthera aquilonis,Platanthera aquilonis,7,6,9,8,3
Platanthera dilatata,Platanthera dilatata,7,6,9,8,3
Platanthera huronensis,Platanthera huronensis,7,6,9,8,3
Platanthera obtusata,Platanthera obtusata,7,6,9,8,3
Platanthera orbiculata,Platanthera orbiculata,7,6,8,7,2
Spiranthes romanzoffiana,Spiranthes romanzoffiana,8,7,10,9,3
Castilleja cusickii,Castilleja cusickii,NA,NA,NA,#VALUE!,#VALUE!
Castilleja hispida,Castilleja hispida,6,5,9,8,4
Castilleja lutescens,Castilleja lutescens,6,6,9,8,3
Castilleja miniata,Castilleja miniata,8,5,11,10,6
Castilleja occidentalis,Castilleja occidentalis,7,6,10,9,4
Orthocarpus luteus,Orthocarpus luteus,8,6,10,9,4
Pedicularis bracteosa,Pedicularis bracteosa,7,6,9,8,3
Pedicularis contorta,Pedicularis contorta,7,6,9,8,3
Pedicularis groenlandica,Pedicularis groenlandica,7,6,10,9,4
Corydalis aurea,Corydalis aurea,5,4,8,7,4
Parnassia fimbriata,Parnassia fimbriata,8,7,10,9,3
Parnassia palustris,Parnassia palustris,7,6,10,9,4
Larix lyallii,Larix lyallii,NA,NA,NA,#VALUE!,#VALUE!
Larix occidentalis,Larix occidentalis,NA,NA,NA,#VALUE!,#VALUE!
Picea engelmannii,Picea engelmannii,NA,NA,NA,#VALUE!,#VALUE!
Picea glauca,Picea glauca,NA,NA,NA,#VALUE!,#VALUE!
Pinus albicaulis,Pinus albicaulis,NA,NA,NA,#VALUE!,#VALUE!
Pinus contorta,Pinus contorta,NA,NA,NA,#VALUE!,#VALUE!
Pinus flexilis,Pinus flexilis,NA,NA,NA,#VALUE!,#VALUE!
Pinus monticola,Pinus monticola,NA,NA,NA,#VALUE!,#VALUE!
Pseudotsuga menziesii,Pseudotsuga menziesii,NA,NA,NA,#VALUE!,#VALUE!
Callitriche palustris,Callitriche palustris,NA,7,9,8,2
Collinsia parviflora,Collinsia parviflora,6,5,8,7,3
Hippuris vulgaris,Hippuris vulgaris,NA,6,8,7,2
Penstemon albertinus,Penstemon albertinus,6,6,8,7,2
Penstemon albidus,Penstemon albidus,6,5,8,7,3
Penstemon confertus,Penstemon confertus,7,6,9,8,3
Penstemon ellipticus,Penstemon ellipticus,7,6,11,10,5
Penstemon eriantherus,Penstemon eriantherus,6,5,7,6,2
Penstemon fruticosus,Penstemon fruticosus,6,6,8,7,2
Penstemon nitidus,Penstemon nitidus,5,4,8,7,4
Penstemon procerus,Penstemon procerus,7,6,11,10,5
Veronica americana,Veronica americana,7,6,11,10,5
Veronica anagallis-aquatica,Veronica anagallis-aquatica,9,6,12,11,6
Veronica peregrina,Veronica peregrina,NA,NA,NA,#VALUE!,#VALUE!
Veronica serpyllifolia,Veronica serpyllifolia,6,6,10,9,4
Agrostis scabra,Agrostis scabra,NA,NA,,-1,#VALUE!
Alopecurus aequalis,Alopecurus aequalis,NA,6,9,8,3
Alopecurus magellanicus,Alopecurus magellanicus,NA,NA,NA,#VALUE!,#VALUE!
Beckmannia syzigachne,Beckmannia syzigachne,7,6,10,9,4
Bouteloua gracilis,Bouteloua gracilis,7,6,11,10,5
Bromus carinatus,Bromus carinatus,NA,NA,NA,#VALUE!,#VALUE!
Bromus ciliatus,Bromus ciliatus,7,5,10,9,5
Bromus pumpellianus,Bromus pumpellianus,7,6,8,7,2
Calamagrostis canadensis,Calamagrostis canadensis,7,7,9,8,2
Calamagrostis montanensis,Calamagrostis montanensis,NA,NA,NA,#VALUE!,#VALUE!
Calamagrostis purpurascens,Calamagrostis purpurascens,NA,NA,NA,#VALUE!,#VALUE!
Calamagrostis stricta,Calamagrostis stricta,NA,NA,NA,#VALUE!,#VALUE!
Catabrosa aquatica,Catabrosa aquatica,NA,NA,NA,#VALUE!,#VALUE!
Danthonia intermedia,Danthonia intermedia,NA,NA,NA,#VALUE!,#VALUE!
Danthonia parryi,Danthonia parryi,NA,NA,NA,#VALUE!,#VALUE!
Danthonia unispicata,Danthonia unispicata,NA,NA,NA,#VALUE!,#VALUE!
Deschampsia elongata,Deschampsia elongata,NA,6,8,7,2
Elymus albicans,Elymus albicans,NA,NA,NA,#VALUE!,#VALUE!
Elymus glaucus,Elymus glaucus,NA,NA,NA,#VALUE!,#VALUE!
Elymus lanceolatus,Elymus lanceolatus,NA,NA,NA,#VALUE!,#VALUE!
Elymus violaceus,Elymus violaceus,NA,NA,NA,#VALUE!,#VALUE!
Festuca campestris,Festuca campestris,6,6,7,6,1
Festuca hallii,Festuca hallii,6,6,8,7,2
Festuca idahoensis,Festuca idahoensis,NA,NA,NA,#VALUE!,#VALUE!
Festuca occidentalis,Festuca occidentalis,NA,5,8,7,3
Festuca rubra,Festuca rubra,NA,6,8,7,2
Festuca saximontana,Festuca saximontana,NA,NA,NA,#VALUE!,#VALUE!
Glyceria borealis,Glyceria borealis,NA,NA,NA,#VALUE!,#VALUE!
Glyceria grandis,Glyceria grandis,NA,6,9,8,3
Hesperostipa comata,Hesperostipa comata,6,6,7,6,1
Hesperostipa curtiseta,Hesperostipa curtiseta,NA,NA,NA,#VALUE!,#VALUE!
Hordeum jubatum,Hordeum jubatum,NA,6,8,7,2
Koeleria macrantha,Koeleria macrantha,NA,6,8,7,2
Leymus innovatus,Leymus innovatus,NA,7,9,8,2
Melica smithii,Melica smithii,NA,NA,NA,#VALUE!,#VALUE!
Melica spectabilis,Melica spectabilis,NA,NA,NA,#VALUE!,#VALUE!
Melica subulata,Melica subulata,NA,7,8,7,1
Muhlenbergia cuspidata,Muhlenbergia cuspidata,NA,NA,NA,#VALUE!,#VALUE!
Muhlenbergia racemosa,Muhlenbergia racemosa,NA,NA,NA,#VALUE!,#VALUE!
Nassella viridula,Nassella viridula,NA,NA,NA,#VALUE!,#VALUE!
Oryzopsis asperifolia,Oryzopsis asperifolia,NA,5,7,6,2
Phalaris arundinacea,Phalaris arundinacea,7,5,11,10,6
Poa cusickii,Poa cusickii,NA,NA,NA,#VALUE!,#VALUE!
Poa interior,Poa interior,NA,NA,NA,#VALUE!,#VALUE!
Poa palustris,Poa palustris,NA,5,8,7,3
Poa pratensis,Poa pratensis,6,5,10,9,5
Poa secunda,Poa secunda,NA,NA,NA,#VALUE!,#VALUE!
Poa stenantha,Poa stenantha,NA,NA,NA,#VALUE!,#VALUE!
Pseudoroegneria spicata,Pseudoroegneria spicata,NA,NA,NA,#VALUE!,#VALUE!
Schizachne purpurascens,Schizachne purpurascens,NA,NA,NA,#VALUE!,#VALUE!
Schizachyrium scoparium,Schizachyrium scoparium,NA,NA,NA,#VALUE!,#VALUE!
Sphenopholis intermedia,Sphenopholis intermedia,NA,NA,NA,#VALUE!,#VALUE!
Collomia linearis,Collomia linearis,6,6,9,8,3
Leptosiphon septentrionalis,Leptosiphon septentrionalis,NA,5,8,7,3
Phlox alyssifolia,Phlox alyssifolia,NA,6,7,6,1
Phlox hoodii,Phlox hoodii,5,3,11,10,8
Polemonium occidentale,Polemonium occidentale,NA,NA,NA,#VALUE!,#VALUE!
Polemonium pulcherrimum,Polemonium pulcherrimum,6,4,10,9,6
Polygala senega,Polygala senega,6,5,8,7,3
Bistorta vivipara,Bistorta vivipara,7,6,11,10,5
Eriogonum androsaceum,Eriogonum androsaceum,7,6,9,8,3
Eriogonum flavum,Eriogonum flavum,6,5,10,9,5
Eriogonum ovalifolium,Eriogonum ovalifolium,7,6,10,9,4
Eriogonum umbellatum,Eriogonum umbellatum,7,6,10,9,4
Persicaria amphibia,Persicaria amphibia,8,5,10,9,5
Persicaria lapathifolia,Persicaria lapathifolia,NA,NA,NA,#VALUE!,#VALUE!
Polygonum achoreum,Polygonum achoreum,NA,NA,NA,#VALUE!,#VALUE!
Polygonum minimum,Polygonum minimum,NA,7,10,9,3
Rumex fueginus,Rumex fueginus,7,6,10,9,4
Rumex occidentalis,Rumex occidentalis,NA,NA,NA,#VALUE!,#VALUE!
Rumex triangulivalvis,Rumex triangulivalvis,NA,NA,NA,#VALUE!,#VALUE!
Polypodium hesperium,Polypodium hesperium,NA,NA,NA,#VALUE!,#VALUE!
Potamogeton foliosus,Potamogeton foliosus,NA,NA,NA,#VALUE!,#VALUE!
Potamogeton friesii,Potamogeton friesii,NA,NA,NA,#VALUE!,#VALUE!
Potamogeton gramineus,Potamogeton gramineus,NA,6,9,8,3
Potamogeton natans,Potamogeton natans,NA,NA,NA,#VALUE!,#VALUE!
Potamogeton praelongus,Potamogeton praelongus,NA,NA,NA,#VALUE!,#VALUE!
Potamogeton richardsonii,Potamogeton richardsonii,7,6,9,8,3
Stuckenia filiformis,Stuckenia filiformis,NA,NA,NA,#VALUE!,#VALUE!
Stuckenia pectinata,Stuckenia pectinata,NA,NA,NA,#VALUE!,#VALUE!
Androsace chamaejasme,Androsace chamaejasme,NA,NA,NA,#VALUE!,#VALUE!
Androsace septentrionalis,Androsace septentrionalis,5,4,9,8,5
Lysimachia ciliata,Lysimachia ciliata,7,6,10,9,4
Primula mistassinica,Primula mistassinica,NA,6,8,7,2
Cryptogramma acrostichoides,Cryptogramma acrostichoides,NA,NA,NA,#VALUE!,#VALUE!
Cryptogramma stelleri,Cryptogramma stelleri,NA,NA,NA,#VALUE!,#VALUE!
Myriopteris gracilis,Myriopteris gracilis,NA,NA,NA,#VALUE!,#VALUE!
Pellaea gastonyi,Pellaea gastonyi,NA,NA,NA,#VALUE!,#VALUE!
Pellaea glabella,Pellaea glabella,NA,NA,NA,#VALUE!,#VALUE!
Actaea rubra,Actaea rubra,6,5,8,7,3
Anemone cylindrica,Anemone cylindrica,7,6,8,7,2
Anemone multifida,Anemone multifida,6,5,9,8,4
Anemone parviflora,Anemone parviflora,6,5,10,9,5
Aquilegia brevistyla,Aquilegia brevistyla,6,5,9,8,4
Aquilegia flavescens,Aquilegia flavescens,7,5,10,9,5
Aquilegia jonesii,Aquilegia jonesii,6,6,8,7,2
Clematis ligusticifolia,Clematis ligusticifolia,7,6,9,8,3
Clematis occidentalis,Clematis occidentalis,6,5,11,10,6
Delphinium bicolor,Delphinium bicolor,7,5,8,7,3
Delphinium glaucum,Delphinium glaucum,7,6,10,9,4
Myosurus apetalus,Myosurus apetalus,NA,NA,NA,#VALUE!,#VALUE!
Ranunculus abortivus,Ranunculus abortivus,6,6,8,7,2
Ranunculus cardiophyllus,Ranunculus cardiophyllus,6,5,8,7,3
Ranunculus eschscholtzii,Ranunculus eschscholtzii,7,4,11,10,7
Ranunculus flammula,Ranunculus flammula,NA,NA,NA,#VALUE!,#VALUE!
Ranunculus glaberrimus,Ranunculus glaberrimus,5,4,10,9,6
Ranunculus gmelinii,Ranunculus gmelinii,6,5,11,10,6
Ranunculus inamoenus,Ranunculus inamoenus,NA,NA,NA,#VALUE!,#VALUE!
Ranunculus macounii,Ranunculus macounii,NA,NA,NA,#VALUE!,#VALUE!
Ranunculus rhomboideus,Ranunculus rhomboideus,5,4,8,7,4
Ranunculus sceleratus,Ranunculus sceleratus,6,5,11,10,6
Ranunculus uncinatus,Ranunculus uncinatus,NA,NA,NA,#VALUE!,#VALUE!
Thalictrum dasycarpum,Thalictrum dasycarpum,NA,NA,NA,#VALUE!,#VALUE!
Thalictrum occidentale,Thalictrum occidentale,7,6,9,8,3
Thalictrum venulosum,Thalictrum venulosum,6,5,8,7,3
Ceanothus velutinus,Ceanothus velutinus,NA,7,8,7,1
Agrimonia striata,Agrimonia striata,7,6,9,8,3
Amelanchier alnifolia,Amelanchier alnifolia,5,5,8,7,3
Chamaerhodos erecta,Chamaerhodos erecta,6,5,8,7,3
Crataegus castlegarensis,Crataegus castlegarensis,NA,NA,NA,#VALUE!,#VALUE!
Crataegus chrysocarpa,Crataegus chrysocarpa,6,5,7,6,2
Crataegus cupressocollina,Crataegus cupressocollina,NA,NA,NA,#VALUE!,#VALUE!
Crataegus douglasii,Crataegus douglasii,NA,NA,NA,#VALUE!,#VALUE!
Crataegus rivuloadamensis,Crataegus rivuloadamensis,NA,NA,NA,#VALUE!,#VALUE!
Crataegus rivulopugnensis,Crataegus rivulopugnensis,NA,NA,NA,#VALUE!,#VALUE!
Crataegus ursopedensis,Crataegus ursopedensis,NA,NA,NA,#VALUE!,#VALUE!
Dasiphora fruticosa,Dasiphora fruticosa,7,5,11,10,6
Dryas drummondii,Dryas drummondii,6,5,8,7,3
Drymocallis arguta,Drymocallis arguta,7,6,9,8,3
Fragaria virginiana,Fragaria virginiana,6,5,12,11,7
Geum aleppicum,Geum aleppicum,7,6,10,9,4
Geum macrophyllum,Geum macrophyllum,7,6,11,10,5
Geum rivale,Geum rivale,6,5,8,7,3
Geum triflorum,Geum triflorum,5,4,8,7,4
Physocarpus malvaceus,Physocarpus malvaceus,NA,6,7,6,1
Potentilla bipinnatifida,Potentilla bipinnatifida,NA,NA,NA,#VALUE!,#VALUE!
Potentilla concinna,Potentilla concinna,5,4,7,6,3
Potentilla diversifolia,Potentilla diversifolia,NA,NA,NA,#VALUE!,#VALUE!
Potentilla effusa,Potentilla effusa,6,6,9,8,3
Potentilla gracilis,Potentilla gracilis,7,6,9,8,3
Potentilla hippiana,Potentilla hippiana,7,6,10,9,4
Potentilla norvegica,Potentilla norvegica,7,6,10,9,4
Potentilla ovina,Potentilla ovina,NA,NA,NA,#VALUE!,#VALUE!
Potentilla pensylvanica,Potentilla pensylvanica,7,6,9,8,3
Potentilla plattensis,Potentilla plattensis,NA,NA,NA,#VALUE!,#VALUE!
Potentilla pulcherrima,Potentilla pulcherrima,7,6,11,10,5
Prunus pensylvanica,Prunus pensylvanica,5,5,7,6,2
Prunus virginiana,Prunus virginiana,5,4,8,7,4
Rosa acicularis,Rosa acicularis,6,5,8,7,3
Rosa arkansana,Rosa arkansana,7,6,10,9,4
