"id","centroid_lat","centroid_lon","asclepias_present"
58,49.1034889997909,-110.588218999992,0
5130,49.0886029995842,-111.533687999871,0
4878,49.0854389998441,-111.611755000161,0
68499,49.0850359997089,-111.612435999762,0
50926,49.0851340001532,-111.613317000092,0
23611,49.0854009999103,-111.613494999938,1
43824,49.0857080000614,-111.613503000087,0
19612,49.0850759999525,-111.613762999813,1
21017,49.0853100000241,-111.613834999806,1
26297,49.0855050000309,-111.61377799943,1
21964,49.0850800001328,-111.614059999923,1
7546,49.0846799998565,-111.614294000408,1
59755,49.0848750001286,-111.614461000553,1
57704,49.0845679997337,-111.614574000044,1
28820,49.0849829998236,-111.614767000311,1
22691,49.0846859997459,-111.614891999863,1
43513,49.0850950001835,-111.615250000295,0
70313,49.0850420003855,-111.615569999827,0
43287,49.0840420000916,-111.616229000062,0
8443,49.0848419997774,-111.616880000032,1
28434,49.0847079999626,-111.617079999897,1
36033,49.0840749999961,-111.618681999931,0
61715,49.0827669997542,-111.620095000083,0
43035,49.0826099999772,-111.62037699977,1
60435,49.0827249999004,-111.620657999989,0
57849,49.0827469999486,-111.62133399974,1
76975,49.0827140000643,-111.621619999576,0
56279,49.0826500004481,-111.621972000279,0
14556,49.0825200002325,-111.622270000072,1
45528,49.0825199999327,-111.622757999864,1
53974,49.0823829998146,-111.62381700004,0
12803,49.0818550001857,-111.624007000069,1
75282,49.081516999863,-111.624244999993,0
40573,49.0812699999964,-111.624457999766,0
70490,49.0808219995198,-111.625641999826,0
62412,49.081030999961,-111.625677999704,0
33643,49.0813249995429,-111.628053000015,0
72351,49.0814450000315,-111.628455000173,0
71427,49.0811999999538,-111.628555000141,0
16265,49.0810920002058,-111.629486999863,1
12672,49.0812699998958,-111.629639999864,0
43165,49.081227999795,-111.630156999774,0
5936,49.0806960001634,-111.631050000093,0
17890,49.0798000000947,-111.634269000266,0
25538,49.0944759999732,-111.988998999949,0
14090,49.0943399997795,-111.989289000032,0
65748,49.0937719999235,-111.993922000191,0
5060,49.0690460000207,-112.017594000074,0
