"missing_species"
"Agropyron cristatum"
"Anemone cylindrica"
"Anemone multifida"
"Artemisia frigida"
"Artemisia longifolia"
"Artemisia ludoviciana"
"Bouteloua gracilis"
"Carex aurea"
"Carex filifolia"
"Euphorbia virgata"
"Galearis rotundifolia"
"Hesperostipa comata"
"Hyoscyamus niger"
"Juncus balticus"
"Paronychia sessiliflora"
"Plantago patagonica"
"Populus balsamifera"
"Sporobolus rigidus"
"Viola nuttallii"
